Hindi,Transliteration
कुटवावे,kuṭavāvê
कुटवाई,kuṭavāi
कुटवाकर,kuṭavākar
कुटवाना,kuṭavānā
कुटवाने,kuṭavānê
कुटवाता,kuṭavātā
कुटवाती,kuṭavātī
कुटवाते,kuṭavātê
कुटवाए,kuṭavāa
कुटवाएगा,kuṭavāagā
कुटवाएगी,kuṭavāagī
कुटवाएँगीं,kuṭavāan̐gīn
कुटवाएँगे,kuṭavāan̐gê
कुटवाऊँ,kuṭavāoon̐
कुटवाऊँगा,kuṭavāoon̐gā
कुटवाऊँगी,kuṭavāoon̐gī
कुटवाऊँगीं,kuṭavāoon̐gīn
कुटवाइए,kuṭavāea
कुटवाइएगा,kuṭavāeagā
कुटवाइएगी,kuṭavāeagī
कुटवाओ,kuṭavāo
कुटवाओगे,kuṭavāogê
कुटवाओगी,kuṭavāogī
मीरबख्शी,mīrabkahshī
यथनुपूर्व,ytahanupūrv
घटानकर्म,ghaṭānakarm
खीस,khīś
खीसियो,khīśiyô
खीसो,khīśô
खीसोगे,khīśôgê
खीसोगी,khīśôgī
खीसे,khīśê
खीसेगी,khīśêgī
खीसेगा,khīśêgā
खीसें,khīśên
खीसेंगे,khīśêngê
खीसेंगें,khīśêngên
खीसेंगी,khīśêngī
खीसेंगीं,khīśêngīn
खीसूँ,khīśūn̐
खीसूँगी,khīśūn̐gī
खीसूँगा,khīśūn̐gā
खीसी,khīśī
खीसीं,khīśīn
खीसिए,khīśia
खीसिएगी,khīśiagī
खीसिएगा,khīśiagā
खीसने,khīśanê
खीसना,khīśanā
खीसते,khīśatê
खीसती,khīśatī
खीसतीं,khīśatīn
खीसता,khīśatā
खीसकर,khīśakar
खीसों,khīśôn
खीसा,khīśā
जैवाकारिकी,jaivākārikī
अग्निदान,agnidān
अग्निदानों,agnidānôn
स्पष्टवादिता,śpshahṭavāditā
द्रढ़िमा,drimā
अग्निमथ,agnimtah
बुद्वू,budvū
नखतराज,nkahatarāj
विषयरत,vishhayarat
अत्युच्च,atyucc
अत्युच्चता,atyuccatā
पुष्पगुच्छ,pushhpagucch
पुष्पगुच्छों,pushhpagucchôn
पुष्पगुच्छी,pushhpagucchī
शचींद्र,shacīndr
व्यावर्तक,vyāvartak
उपख्यान,upkahyān
सहस्राब्दिक,śahaśrābdik
ज्ञापिका,jñaāpikā
अमानतनामा,amānatanāmā
अमानतनामे,amānatanāmê
अमानतनामों,amānatanāmôn
म्युनिसिपैलटी,myuniśipailaṭī
कुंड़लिया,kunliyā
संतर्ष,śntarshh
अग्निमय,agnimay
नौसिखियां,nauśikhiyān
नाराकटारी,nārākaṭārī
कचमाल,kacamāl
तिगड्‌डा,tigaḍḍā
तिगड्‌डी,tigaḍḍī
पौष्ण,paushhṇ
स्रंस,śrnś
विस्रंस,viśrnś
स्रंसी,śrnśī
विस्रंसी,viśrnśī
मुर्च्छना,murcchanā
क्लग,klag
अविवाहित,avivāhit
अविवाहिता,avivāhitā
अविवाहितता,avivāhitatā
अविवाहितों,avivāhitôn
बरबदोस,barabadôś
बरबदोसी,barabadôśī
अग्निदाह,agnidāh
अग्निदाहों,agnidāhôn
लेजरंग,lêjarng
क्लच,klac
क्लचों,klacôn
विषाद-रहित,vishhādarahit
प्लय,play
अपूर्वपत्नी,apūrvapatnī
अवहिताञ्जलि,avahitāñajali
हेअरकट,hêarakaṭ
पौष्प,paushhp
ढिलाई,ḍhilāi
ढिलाइओं,ḍhilāeon
ढिलाइयाँ,ḍhilāeyān̐
नखतराय,nkahatarāy
स्वायत्तशासी,śvāyattsahāśī
लिपिकआवती,lipikaavatī
निवास-स्थल,nivāśaśthal
फ़तीला,tīlā
फ़तीले,tīlê
फ़तीलों,tīlôn
शुष्कार्द्रक,shushhkārdrak
प्लव,plav
विप्लव,viplav
प्लवों,plavôn
विप्लवों,viplavôn
बढ़इन,ben
वृन्तिका,vrintikā
पौष्य,paushhy
प्लश,plsah
व्यावर्तन,vyāvartan
व्यावर्तनों,vyāvartanôn
थाईलेण्ड,thāilêṇḍ
प्लस,plaś
भाई-बन्धुओं,bhāibandhuon
क्लथ,kltah
डायरेक्टर,ḍāyarêkṭar
डायरेक्टरों,ḍāyarêkṭarôn
डायरेक्टरी,ḍāyarêkṭarī
जलघुमर,jalgahumar
जलघुमरों,jalgahumarôn
रब्त-ज़ब्त,rabtabt
अपमारगी,apamāragī
चित्तविप्लव,cittaviplav
व्यक्ताव्यक्त,vyaktāvyakt
असम्बद्ध,aśambaddh
असम्बद्धता,aśambaddhatā
वज्र-कण्टक,vajrakaṇṭak
प्ला,plā
प्लाता,plātā
प्ले,plê
माम्ज़ी,māmī
प्रेशर,prêshar
ढोनेवाली,ḍhônêvālī
अष्टपाटीय,ashhṭapāṭīy
क्लब,klab
क्लबों,klabôn
घमूह,ghamūh
समाजविद,śamājavid
क्लम,klam
अक्लम,aklam
बख़ैर,bair
जाकेट,jākêṭ
कंपाइल्ड,knpāelḍ
शूलाकार,shūlākār
लगैया,lagaiyā
चाटुकारत,cāṭukārat
शुतुद्रू,shutudrū
ढोनेवाले,ḍhônêvālê
अशिष्टत,ashishhṭat
अशिष्टता,ashishhṭatā
अधृत,adhrit
राज-दरबार,rājadarabār
क्लव,klav
विक्लव,viklav
बिदायगी,bidāyagī
धर्म-शास्त्रानुसार,dharmsahāśtrānuśār
प्रमोदित,pramôdit
रंग-वृत्त,rngavritt
वस्त्रखंड,vaśtrkahnḍ
ऐमजैसी,aemajaiśī
टर्रु,ṭarru
टर्रू,ṭarrū
आनुषङ्गिक,aanushhṅaagik
क्ला,klā
क्ली,klī
क्ले,klê
क्लो,klô
अकूतत,akūtat
अकूतता,akūtatā
त्रिनेत्रचूड़ामणि,trinêtracūāmaṇi
भद्रमुस्तक,bhadramuśtak
क्षिप्रहस्त,kshhiprahaśt
सल्लू,śallū
ऑफरिंग,awfaring
आषाढ़मास,aashhāmāś
खेलवार,khêlavār
हीमियादा,hīmiyādā
मूत्रक्षय,mūtrakshhay
वारयितव्य,vārayitavy
वारयितव्यता,vārayitavyatā
करबर,karabar
रोगीकक्ष,rôgīkakshh
अंकुश-कृमि,ankushakrimi
सांवादिक,śānvādik
सांवादिकों,śānvādikôn
आस्तिक,aaśtik
आस्तिकता,aaśtikatā
आस्तिकों,aaśtikôn
बतायें,batāyên
नागवारिक,nāgavārik
महाशीर्ष,mahāshīrshh
जेरेसाया,jêrêśāyā
चान्द्रमास,cāndramāś
करबस,karabaś
सत्यधर्मविलम्बी,śatydaharmavilambī
उत्केंद्र,utkêndr
उत्केंद्रता,utkêndratā
जन्मदर,janmadar
जानपद,jānapad
जानपदी,jānapadī
स्मैक,śmaik
वैकर्तन,vaikartan
म्यूनिसिपल,myūniśipal
इंदुवल्ली,enduvallī
हिमकुटी,himakuṭī
कुराज्य,kurājy
ट्यूनीशियन,ṭyūnīshiyan
छिद्राणु,chidrāṇu
अभाष्य,abhāshhy
निर्दलीय,nirdalīy
निर्दलीयता,nirdalīyatā
पुचपुच,pucapuc
गाइगर,gāegar
जन्मप्रदान,janmapradān
झेँपा,jhên̐pā
झेँपी,jhên̐pī
झेँपे,jhên̐pê
झेँपो,jhên̐pô
झेँपाइयो,jhên̐pāeyô
झेँपावे,jhên̐pāvê
झेँपाई,jhên̐pāi
झेँपाकर,jhên̐pākar
झेँपाना,jhên̐pānā
झेँपाने,jhên̐pānê
झेँपाता,jhên̐pātā
झेँपाती,jhên̐pātī
झेँपाते,jhên̐pātê
झेँपाए,jhên̐pāa
झेँपाएगा,jhên̐pāagā
झेँपाएगी,jhên̐pāagī
झेँपाएँगीं,jhên̐pāan̐gīn
झेँपाएँगे,jhên̐pāan̐gê
झेँपाऊँ,jhên̐pāoon̐
झेँपाऊँगा,jhên̐pāoon̐gā
झेँपाऊँगी,jhên̐pāoon̐gī
झेँपाऊँगीं,jhên̐pāoon̐gīn
झेँपाइए,jhên̐pāea
झेँपाइएगा,jhên̐pāeagā
झेँपाइएगी,jhên̐pāeagī
झेँपाओ,jhên̐pāo
झेँपाओगे,jhên̐pāogê
झेँपाओगी,jhên̐pāogī
झेँपीं,jhên̐pīn
मुठियादार,muṭhiyādār
माइक्रोस्कोप,māekrôśkôp
माइक्रोस्कोपों,māekrôśkôpôn
सतृष्ण,śatrishhṇ
माड़नि,māni
अंडरलाइंड,anḍaralāenḍ
शनासाई,shanāśāi
शनासाइओं,shanāśāeon
शनासाइयाँ,shanāśāeyān̐
वर्गणा,vargaṇā
महिषार्दन,mahishhārdan
अभिज्ञापक,abhijñaāpak
रोंयेदारपन,rônyêdārapan
तूआमोतू,tūaamôtū
अगुवाई,aguvāi
अगुवाइओं,aguvāeon
अगुवाइयाँ,aguvāeyān̐
स्थान्य,śthāny
समयबद्ध,śamayabaddh
समयबद्धता,śamayabaddhatā
प्रभविदा,prbahavidā
अरियालुर,ariyālur
ऊपर-तले,oopaaratalê
ट्यूजडे,ṭyūjaḍê
डरीला,ḍarīlā
भद्रमुस्ता,bhadramuśtā
कामनाएं,kāmanāan
कामनाएंों,kāmanāanôn
शरंड,sharnḍ
लब्बोलुबाव,labbôlubāv
पर्दा-प्रथा,pardāprtahā
अंतर्चिंतन,antarcintan
भिक्षाहार,bhikshhāhār
बजावनि,bajāvani
आपस्तंब,aapaśtnb
आपस्तंबों,aapaśtnbôn
मदमूद,madamūd
बाल्मैकान,bālmaikān
रासायनिक-शाला,rāśāyaniksahālā
ट्यूनीशिया,ṭyūnīshiyā
फूलपत्ती,fūlapattī
मैकदा,maikadā
स्मैल,śmail
सुशालीन,śushālīn
सुशालीनता,śushālīnatā
वडोदरा,vaḍôdarā
मलाकर्षी,malākarshhī
प्राविंस,prāvinś
उद्गति,udgati
फ़र्ज़ीं,rīn
फ़र्ज़ींों,rīnôn
सांताक्रूज,śāntākrūj
क्रांतिज्वाला,krāntijvālā
स्मैश,śmaish
आजमूदा,aajamūdā
नाआजमूदा,nāaajamūdā
अभिज्ञापन,abhijñaāpan
अभिज्ञापनों,abhijñaāpanôn
अपात्रदायी,apātradāyī
कँड़िहारा,kn̐ihārā
फूलपत्ते,fūlapattê
मंत्रदेवता,mntradêvatā
सिंहच्छदा,śinhacchadā
क्रीड़ारत,krīārat
क्रीड़ारथ,krīārtah
अर्धजागृत,ardhajāgrit
टि्‌वस्ट,ṭivaśṭ
चवर्णक,cavarṇak
कीर्तिवन्त,kīrtivant
होटोकू,hôṭôkū
प्राजेश,prājêsh
पुरुषपशु,purushhapsahu
कर्णकुंडल,karṇakunḍal
जन-शक्ति,jaansahakti
जन-शक्तियाँ,jaansahaktiyān̐
जन-शक्तिओं,jaansahaktion
क्यारियों,kyāriyôn
कचोकना,kacôkanā
सिखंडिका,śikhnḍikā
निर्विचार,nirvicār
निर्विचारी,nirvicārī
निर्विचारता,nirvicāratā
निर्विचारों,nirvicārôn
बैसर,baiśar
बैसरों,baiśarôn
आत्मविश्वासहीन,aatmavishvāśahīn
आत्मविश्वासहीनता,aatmavishvāśahīnatā
पगारमान,pagāramān
भरमा,bharamā
भरमाइयो,bharamāeyô
भरमावे,bharamāvê
भरमाई,bharamāi
भरमाकर,bharamākar
भरमाना,bharamānā
भरमाने,bharamānê
भरमाता,bharamātā
भरमाती,bharamātī
भरमाते,bharamātê
भरमाए,bharamāa
भरमाएगा,bharamāagā
भरमाएगी,bharamāagī
भरमाएँगीं,bharamāan̐gīn
भरमाएँगे,bharamāan̐gê
भरमाऊँ,bharamāoon̐
भरमाऊँगा,bharamāoon̐gā
भरमाऊँगी,bharamāoon̐gī
भरमाऊँगीं,bharamāoon̐gīn
भरमाइए,bharamāea
भरमाइएगा,bharamāeagā
भरमाइएगी,bharamāeagī
भरमाओ,bharamāo
भरमाओगे,bharamāogê
भरमाओगी,bharamāogī
भरमीं,bharamīn
भरमे,bharamê
भरमों,bharamôn
भरमी,bharamī
भरमो,bharamô
द्विगुणिदा,dviguṇidā
सममूल्येतर,śamamūlyêtar
तोयशूक,tôysahūk
तोयशूका,tôysahūkā
कुकुरभंगरा,kukurbahngarā
अबुंद,abund
सर्वोच्चसत्ताधारी,śarvôccaśattādhārī
मुक़फ़्फ़ल,mul
आगंता,aagntā
तिकड़मबाज,tikamabāj
तिकड़मबाजों,tikamabājôn
तिकड़मबाजी,tikamabājī
पंचेषु,pncêshhu
आर्जेंटीना,aarjênṭīnā
अनाराधनीय,anārādhanīy
बज़्म,bm
बज़्में,bmên
बज़्मों,bmôn
पटवा,paṭavā
पटवाइयो,paṭavāeyô
पटवावे,paṭavāvê
पटवाई,paṭavāi
पटवाकर,paṭavākar
पटवाना,paṭavānā
पटवाने,paṭavānê
पटवाता,paṭavātā
पटवाती,paṭavātī
पटवाते,paṭavātê
पटवाए,paṭavāa
पटवाएगा,paṭavāagā
पटवाएगी,paṭavāagī
पटवाएँगीं,paṭavāan̐gīn
पटवाएँगे,paṭavāan̐gê
पटवाऊँ,paṭavāoon̐
पटवाऊँगा,paṭavāoon̐gā
पटवाऊँगी,paṭavāoon̐gī
पटवाऊँगीं,paṭavāoon̐gīn
पटवाइए,paṭavāea
पटवाइएगा,paṭavāeagā
पटवाइएगी,paṭavāeagī
पटवाओ,paṭavāo
पटवाओगे,paṭavāogê
पटवाओगी,paṭavāogī
पटवे,paṭavê
पटवों,paṭavôn
बढ़ईगीरी,bigīrī
काटरवासी,kāṭaravāśī
नौतरण,nautaraṇ
नौतरणों,nautaraṇôn
आमन्त्रित,aamantrit
चिट्ठियां,ciṭṭhiyān
मायनों,māyanôn
विभीतक,vibhītak
विभीतकी,vibhītakī
अशोककालीन,ashôkakālīn
त्योंही,tyônhī
त्योंहिओं,tyônhion
त्योंहीों,tyônhīôn
स्वीकारक,śvīkārak
स्वीकारकता,śvīkārakatā
वाक्यालंकार,vākyālnkār
बजानेवालों,bajānêvālôn
वांक,vānk
वांग,vāng
परिवर्द्धित,parivarddhit
स्प्रिंगीनैस,śpringīnaiś
गंजीफा,gnjīfā
गंजीफे,gnjīfê
असत्कार्य,aśatkāry
ससीम,śaśīm
ससीमता,śaśīmatā
अंतर्स्फोट,antarśfôṭ
ऑयनटेपुई,awyanaṭêpui
बकाहन,bakāhan
अनोना,anônā
अर्द्धेन्दु,arddhêndu
फगुहरा,faguharā
फगुहरी,faguharī
बीवरेज,bīvarêj
अलमनाक,alamanāk
कटवा,kaṭavā
कटवाइयो,kaṭavāeyô
कटवावे,kaṭavāvê
कटवाई,kaṭavāi
कटवाकर,kaṭavākar
कटवाना,kaṭavānā
कटवाने,kaṭavānê
कटवाता,kaṭavātā
कटवाती,kaṭavātī
कटवाते,kaṭavātê
कटवाए,kaṭavāa
कटवाएगा,kaṭavāagā
कटवाएगी,kaṭavāagī
कटवाएँगीं,kaṭavāan̐gīn
कटवाएँगे,kaṭavāan̐gê
कटवाऊँ,kaṭavāoon̐
कटवाऊँगा,kaṭavāoon̐gā
कटवाऊँगी,kaṭavāoon̐gī
कटवाऊँगीं,kaṭavāoon̐gīn
कटवाइए,kaṭavāea
कटवाइएगा,kaṭavāeagā
कटवाइएगी,kaṭavāeagī
कटवाओ,kaṭavāo
कटवाओगे,kaṭavāogê
कटवाओगी,kaṭavāogī
कटवे,kaṭavê
कटवों,kaṭavôn
लवाज़मा,lavāmā
लवाज़मे,lavāmê
लवाज़मों,lavāmôn
गफलत,gafalat
गफलती,gafalatī
गफलतों,gafalatôn
ससुगंध,śaśugndh
ससुगंधता,śaśugndhatā
अमर-वल्ली,amaaravallī
वाष्पमोक्षण,vāshhpamôkshhaṇ
ठोसपन,ṭhôśapan
बामन,bāman
बामनी,bāmanī
वांत,vānt
पूर्ववासी,pūrvavāśī
नीडोद्भव,nīḍôdbhav
अपरिणेय,apariṇêy
स्वार्जक,śvārjak
तुफ़ैल,tuail
तुफ़ैलों,tuailôn
तुफ़ैली,tuailī
अचिन्हित,acinhit
वांध,vāndh
वांधों,vāndhôn
एकांतातंकग्रस्त,akāntātnkagraśt
सूक्तिवत्त,śūktivatt
सूक्तिवत्ता,śūktivattā
अवकाशकालीन,avakāshakālīn
केशवपनीय,kêshavapanīy
निमिर्त,nimirt
निमिर्तता,nimirtatā
बरिच्छा,baricchā
भूसंपित्तय,bhūśnpittay
मौजूँ,maujūn̐
नामौजूँ,nāmaujūn̐
मौजूं,maujūn
नामौजूं,nāmaujūn
उपराचढ़ी,uparācī
हयरोहण,hayarôhaṇ
समाचार,śamācār
समाचारों,śamācārôn
लड़ाकापन,lākāpan
धूपस्नान,dhūpaśnān
धूपस्नानों,dhūpaśnānôn
सपरदाई,śaparadāi
सपरदाइओं,śaparadāeon
सपरदाइयाँ,śaparadāeyān̐
अन्तर्जातीय,antarjātīy
ब्रेकपॉइंट,brêkapŏenṭ
ग़र्क़,r
ग़र्क़ी,rī
मच्छीभार,macchībhār
माउंटर,māunṭar
माउंटरों,māunṭarôn
वैतंडिक,vaitnḍik
वैतंडिकता,vaitnḍikatā
निर्वाचिका,nirvācikā
शिलांग?,shilāng
अर्थोंपार्जन,arthônpārjan
ग़र्ज़,r
बेग़र्ज़,bêr
ग़र्ज़ी,rī
बेग़र्ज़ी,bêrī
पीड़ापूर्वक,pīāpūrvak
नित्यार,nityār
यज्ञाशन,yajñaāshan
ईवटीज़िंग,ivaṭīing
स्वयंसिद्ध-वक्तव्य,śvaynśiddhavaktavy
त्सांबेसी,tśānbêśī
आयंदा,aayndā
मोकना,môkanā
स्वार्जन,śvārjan
दाक्षिण,dākshhiṇ
भब्भड़,bhabbh
नाशवाद,nāshavād
विनाशवाद,vināshavād
नाशवादी,nāshavādī
विनाशवादी,vināshavādī
ऑक्सफ़र्ड,awkśarḍ
आटोनमी,aaṭônamī
सानासि,śānāśi
कढुवा,kḍahuvā
नाशवान,nāshavān
विनाशवान,vināshavān
नाशवानों,nāshavānôn
विनाशवानों,vināshavānôn
अर्धनैयायिक,ardhanaiyāyik
न्यायतुला,nyāyatulā
टैंजैंट,ṭainjainṭ
नोट्स,nôṭś
मलयानिल,malayānil
मलयानिलों,malayānilôn
स्काटलैंडवासी,śkāṭalainḍavāśī
जज़्बात,jbāt
जज़्बाती,jbātī
जज़्बातों,jbātôn
प्रच्छालन,pracchālan
कालीची,kālīcī
विमानतल,vimānatal
दुराघ्रीयम,durāghrīyam
मिल्लत,millat
मिल्लतें,millatên
मिल्लतों,millatôn
मुखासमत,mukhāśamat
लड़बावला,labāvalā
लड़बावली,labāvalī
रीडैंप्शन,rīḍainpshan
पछुवाई,pcahuvāi
फगुनहट,fagunahaṭ
सूचीवक्त्र,śūcīvaktr
साइबरजुर्म,śāebarajurm
नाड़ीकेल,nāīkêl
नाड़ीकेलों,nāīkêlôn
समरक्षिति,śamarakshhiti
हाडिन,hāḍin
पूर्णकुंभ,pūrṇakunbh
रायज़ादा,rāyādā
रायज़ादी,rāyādī
मनःस्थिति,manḥ śthiti
कुर्चिका,kurcikā
नैर्घृण्य,nairghriṇy
एम्हैरिक,amhairik
कस्टमहाउस,kaśṭamahāuś
अन्न-कूट,annakūṭ
मंत्रेला,mntrêlā
चामरग्राह,cāmaragrāh
चामरग्राही,cāmaragrāhī
समनुदेशक,śamanudêshak
अनायुक्त,anāyukt
अनायुक्तों,anāyuktôn
पर्ण-समूह,parṇaśamūh
पर्ण-समूहों,parṇaśamūhôn
अंधराष्ट्रवाद,andharāshhṭravād
अंधराष्ट्रवादों,andharāshhṭravādôn
अंधराष्ट्रवादी,andharāshhṭravādī
ननहर,nanahar
मौजूद,maujūd
मौजूदों,maujūdôn
मौजूदा,maujūdā
मौजूदे,maujūdê
महाधूर्त,mahādhūrt
अंडरशूट,anḍarsahūṭ
अक्षतिग्रस्त,akshhatigraśt
शिक्षामंत्री,shikshhāmntrī
गुफाएँ,gufāan̐
निदेशकविदेश,nidêshakavidêsh
हरिणकलंक,hariṇakalnk
लाज़वाल,lāvāl
निमारण,nimāraṇ
महानिरीक्षालय,mahānirīkshhālay
महानिरीक्षालयों,mahānirīkshhālayôn
व्यथाकार,vytahākār
व्यथाकारी,vytahākārī
अवमाननात्मक,avamānanātmak
हस्तोपकरण,haśtôpakaraṇ
क्षमाना,kshhamānā
लोहकार,lôhakār
धधकन,dhdahakan
धधकना,dhdahakanā
धधकने,dhdahakanê
हेरॉल्ड,hêrŏlḍ
प्राचीनकालीन,prācīnakālīn
अरंगनेत्रिणी,arnganêtriṇī
तैरने_वाला,tairanêvālā
ओपथी,optahī
सुवोमी,śuvômī
सुकेशिनी,śukêshinī
अवगाह्य,avagāhy
कुमंत्र,kumntr
छत्राकार,chatrākār
मेसीओ,mêśīo
अभिलेखालय,abhilêkhālay
अभिलेखालयों,abhilêkhālayôn
शेषात्र,shêshhātr
प्रचालकऑपरेटर,pracālakawparêṭar
रंगाजीव,rngājīv
रंगाजीवी,rngājīvī
बॅंटाना,bĕnṭānā
सुकुड़ना,śukunā
क्रमेलक,kramêlak
क्रमेलकों,kramêlakôn
मनोघात,manôghāt
कालात्यय,kālātyay
स्वप्नहीन,śvapnahīn
राजभक्त,rājbahakt
राजभक्तों,rājbahaktôn
समनुदेशन,śamanudêshan
समनुदेशनों,śamanudêshanôn
महानिम्ब,mahānimb
होम्य,hômy
सेंकती,śênkatī
नामसूची,nāmaśūcī
नामसूचियाँ,nāmaśūciyān̐
नामसूचिओं,nāmaśūcion
शकरपाला,shakarapālā
समझदारीपूर्ण,śamjahadārīpūrṇ
संथीय,śnthīy
बहुधार,bahudhār
ठट्ठर,ṭhaṭṭhar
आंग्ल-कैथोलिक,aanglakaithôlik
सेंकते,śênkatê
शैडर,shaiḍar
रोगोन्मुख,rôgônmukh
निम्नस्थित,nimnaśthit
अंनत,annat
बारबाडोस,bārabāḍôś
आशुलेखक,aashulêkhak
आशुलेखकों,aashulêkhakôn
चरड़-चरड़,caaaracaar
सुखमस्तु,śukhamaśtu
भावयुक्त,bhāvayukt
मेर्निएर,mêrniar
मोहसिन,môhaśin
धधका,dhdahakā
धधकाइयो,dhdahakāeyô
धधकावे,dhdahakāvê
धधकाई,dhdahakāi
धधकाकर,dhdahakākar
धधकाना,dhdahakānā
धधकाने,dhdahakānê
धधकाता,dhdahakātā
धधकाती,dhdahakātī
धधकाते,dhdahakātê
धधकाए,dhdahakāa
धधकाएगा,dhdahakāagā
धधकाएगी,dhdahakāagī
धधकाएँगीं,dhdahakāan̐gīn
धधकाएँगे,dhdahakāan̐gê
धधकाऊँ,dhdahakāoon̐
धधकाऊँगा,dhdahakāoon̐gā
धधकाऊँगी,dhdahakāoon̐gī
धधकाऊँगीं,dhdahakāoon̐gīn
धधकाइए,dhdahakāea
धधकाइएगा,dhdahakāeagā
धधकाइएगी,dhdahakāeagī
धधकाओ,dhdahakāo
धधकाओगे,dhdahakāogê
धधकाओगी,dhdahakāogī
धधकीं,dhdahakīn
धधके,dhdahakê
धधकों,dhdahakôn
धधकी,dhdahakī
धधको,dhdahakô
सुढर,śuḍhar
प्रबंधीय,prabndhīy
धूलिधूसरित,dhūlidhūśarit
दार्जीलिंग,dārjīling
क्लांतत,klāntat
राक्षसीय,rākshhaśīy
राक्षसीयता,rākshhaśīyatā
ऐबनी,aebanī
फाउन्डेसन,fāunḍêśan
ऐमीरेट्‌स,aemīrêṭś
प्रियदेवन,priyadêvan
भरद्वाज,bharadvāj
भरद्वाजों,bharadvājôn
अमर्धत,amardhat
अप्रकटित,aprakaṭit
प्रलंबित,pralnbit
प्रलंबितता,pralnbitatā
कांजीरंगा,kānjīrngā
फलोत्प्रेक्षा,falôtprêkshhā
सदीप्ति,śadīpti
इज़राइल,erāel
इज़राइली,erāelī
पाकीज़गी,pākīgī
नापाकीज़गी,nāpākīgī
मार्जारकर्णिका,mārjārakarṇikā
दक्षिणगंगा,dakshhiṇagngā
दुर्विनीत,durvinīt
जरदार,jaradār
आशुलेखन,aashulêkhan
नपाई,napāi
नपाइओं,napāeon
नपाइयाँ,napāeyān̐
बोत्सवानियाई,bôtśavāniyāi
भरवाँ,bharavān̐
खट्वा,khaṭvā
मह्र,mahr
बेमह्र,bêmahr
कृष्णाचंचुक,krishhṇācncuk
पिचाई,picāi
मैनागुआ,maināguaa
मुअज्जन,muajjan
क्वीमल,kvīmal
क़ैफ़,ai
क़ैफ़ी,aiī
मंत्रोंच्चार,mntrônccār
प्रक्षेप्य,prakshhêpy
सीमा-सड़क,śīmāśak
अस्थियुजा,aśthiyujā
झंपक,jhnpak
पैनअरब,painarab
मुअज्जम,muajjam
मुअज्जमा,muajjamā
पूर्णरक्षा,pūrṇarakshhā
मुड़ेरा,muêrā
अद्रिसानु,adriśānu
नपाक,napāk
खाना-पानी,khānāpānī
क्लांति,klānti
विक्लांति,viklānti
लांगलपद्धति,lāngalapaddhati
अकौटुंबिक,akauṭunbik
स्तंभनीय,śtnbhanīy
ग्रैन्डल,grainḍal
चिल्ले-पिल्ले,cillêpillê
कृष्णायास,krishhṇāyāś
अनागत-आगत,anāgaataagat
संतांत्रिक,śntāntrik
संतांत्रिकी,śntāntrikī
चरणकमल,caraṇakamal
चरणकमलों,caraṇakamalôn
वरिवस्थित,varivaśthit
कोणनर,kôṇanar
आदत,aadat
आदतों,aadatôn
आदता,aadatā
आदती,aadatī
वृथा,vrithā
टूँग,ṭūn̐g
टूँगियो,ṭūn̐giyô
टूँगो,ṭūn̐gô
टूँगोगे,ṭūn̐gôgê
टूँगोगी,ṭūn̐gôgī
टूँगे,ṭūn̐gê
टूँगेगी,ṭūn̐gêgī
टूँगेगा,ṭūn̐gêgā
टूँगें,ṭūn̐gên
टूँगेंगे,ṭūn̐gêngê
टूँगेंगें,ṭūn̐gêngên
टूँगेंगी,ṭūn̐gêngī
टूँगेंगीं,ṭūn̐gêngīn
टूँगूँ,ṭūn̐gūn̐
टूँगूँगी,ṭūn̐gūn̐gī
टूँगूँगा,ṭūn̐gūn̐gā
टूँगी,ṭūn̐gī
टूँगीं,ṭūn̐gīn
टूँगिए,ṭūn̐gia
टूँगिएगी,ṭūn̐giagī
टूँगिएगा,ṭūn̐giagā
टूँगने,ṭūn̐ganê
टूँगना,ṭūn̐ganā
टूँगते,ṭūn̐gatê
टूँगती,ṭūn̐gatī
टूँगतीं,ṭūn̐gatīn
टूँगता,ṭūn̐gatā
टूँगकर,ṭūn̐gakar
अवितरण,avitaraṇ
अवितरणों,avitaraṇôn
परिग्रहवृत्ति,parigrahavritti
कंट्रीब्यूट,knṭrībyūṭ
कवरिंग,kavaring
आईसीबीऐम,aaiśībīaem
माया-जाल,māyājāl
नपात,napāt
नपाता,napātā
नपाती,napātī
नपाते,napātê
वेत्रवती,vêtravatī
सिल्कस्क्रीन,śilkaśkrīn
झंपन,jhnpan
झंपनों,jhnpanôn
सिंथैसिस,śinthaiśiś
परमहंस-परिव्राजकोपनिषद्,paramahnśaparivrājakôpanishhad
टूँट,ṭūn̐ṭ
बाहुयुद्घ,bāhuyudgh
आदम,aadam
आदमों,aadamôn
आदमी,aadamī
आदमे,aadamê
आदर,aadar
आदरता,aadaratā
आदरियो,aadariyô
आदरो,aadarô
आदरोगे,aadarôgê
आदरोगी,aadarôgī
आदरे,aadarê
आदरेगी,aadarêgī
आदरेगा,aadarêgā
आदरें,aadarên
आदरेंगे,aadarêngê
आदरेंगें,aadarêngên
आदरेंगी,aadarêngī
आदरेंगीं,aadarêngīn
आदरूँ,aadarūn̐
आदरूँगी,aadarūn̐gī
आदरूँगा,aadarūn̐gā
आदरी,aadarī
आदरीं,aadarīn
आदरिए,aadaria
आदरिएगी,aadariagī
आदरिएगा,aadariagā
आदरने,aadaranê
आदरना,aadaranā
आदरते,aadaratê
आदरती,aadaratī
आदरतीं,aadaratīn
आदरों,aadarôn
आदरसूचक,aadaraśūcak
पुनरजन्म,punarajanm
पणित,paṇit
विपणित,vipaṇit
